"Outcome","Variable","coef","mean","S0_at_t","t_pred_days"
"T2DM","age_qc",0.00803832209286634,59.5174534516256,0.947677569409972,1826.25
"T2DM","sex_qc",0.0156590716921601,0.507172131147541,NA,NA
"T2DM","bmi_qc",0.00665480608670201,25.8424356953553,NA,NA
"T2DM","waist_qc",0.011031254391305,90.3559777492382,NA,NA
"T2DM","dm2_family",0.368894778375998,0.40343237704918,NA,NA
"T2DM","sport_total_met",-0.00324740546605185,14.1907450650445,NA,NA
"T2DM","edu_qc",0.139844365135519,2.49001024590164,NA,NA
"T2DM","occu_qc",-0.386367615975444,0.42469262295082,NA,NA
"T2DM","income_qc",4.83416517048371e-07,21523.6599078334,NA,NA
"T2DM","sleephour",0.0546088255418923,7.20667520527664,NA,NA
"T2DM","stroke_family",0.0272893378221711,0.735143442622951,NA,NA
"T2DM","fbg_qc",0.075173848809784,4.82468939572573,NA,NA
"T2DM","hba1c_qc",0.119311789577167,5.765676232635,NA,NA
"T2DM","marriage_qc",-0.0451837380978005,2.20543032786885,NA,NA
"T2DM","hip_qc",-0.00354998944829487,99.6990886418546,NA,NA
"T2DM","weight_qc",0.0067917539272536,67.7945696623599,NA,NA
"T2DM","smoke_qc",0.0184815410229664,1.7999487704918,NA,NA
"T2DM","sithour",-0.0168450336767586,3.19136782779671,NA,NA
"T2DM","ht_family",0.0244533805998835,0.921875,NA,NA
"T2DM","sbp_qc",0.00373052990322743,139.22472850612,NA,NA
"T2DM","dbp_qc",-0.0102465800596102,82.908453339436,NA,NA
"T2DM","hdlc_qc",-0.214502043028563,1.03646433644271,NA,NA
"T2DM","ldlc_qc",0.629851808553563,2.35939148295915,NA,NA
"T2DM","tg_qc",0.0862985743787596,1.48956006758495,NA,NA
"T2DM","tc_qc",-0.717365466795028,3.3139092223566,NA,NA
"T2DM","apoa_qc",0.10568949559334,1.17962774646527,NA,NA
"T2DM","apob_qc",0.0544866636223141,0.787365528438088,NA,NA
"T2DM","hr",0.00297326079935046,69.0704405737705,NA,NA
"T2DM","druglipo_qc",0.228122042763321,0.108094262295082,NA,NA
"T2DM","drugdiab",1.13776123542363,0.022797131147541,NA,NA
"T2DM","drughyper",0.0220120183849432,0.542520491803279,NA,NA
"T2DM","HT_is_prevalent",0.150436885577307,0.723616803278688,NA,NA
"T2DM","CVD_is_prevalent",0.263882078951035,0.498975409836066,NA,NA
"T2DM","hba1c_qc_miss",0.184077376317592,0.468493852459016,NA,NA
"T2DM","hr_miss",-0.482720578216466,0.454149590163934,NA,NA
"T2DM","body_water",0.0105561836021037,34.7852330503405,NA,NA
"T2DM","abi_qc",0.390530533602935,1.08481134855967,NA,NA
"T2DM","bif_imt_qc",-0.221387065097127,0.751052759122103,NA,NA
"T2DM","alt",0.00241939171098713,12.0349334098508,NA,NA
"T2DM","hscrp",0.0185063494891579,2.04596823248077,NA,NA
"T2DM","rbpmap_x10",-0.000541708999704588,519.921875,NA,NA
"T2DM","lbpmap_x10",-0.00131266734225732,519.837090163934,NA,NA
"T2DM","alt_miss",-1.15070744380407,0.895491803278688,NA,NA
"T2DM","hcy_miss",0.496471167101636,0.753842213114754,NA,NA
"Death","age_qc",0.0567065556414378,59.7115934317172,0.934689239266007,3652.5
"Death","sex_qc",0.629834939020969,0.471067295327904,NA,NA
"Death","bmi_qc",-0.0141669431035527,26.0951534592279,NA,NA
"Death","waist_qc",0.000310208960017976,91.7524761483914,NA,NA
"Death","edu_qc",-0.160181497947672,2.46792398914131,NA,NA
"Death","marriage_qc",0.183465617330001,2.21331618802686,NA,NA
"Death","sleephour",0.108773567713104,7.3835019293485,NA,NA
"Death","sithour",0.045632664470533,3.31860122872895,NA,NA
"Death","sport_total_met",-0.00935174567460573,14.2745454540784,NA,NA
"Death","dm2_family",0.0143519333723239,0.657379625660809,NA,NA
"Death","sbp_qc",0.00612516949837232,139.054887863445,NA,NA
"Death","fbg_qc",0.0115468267712748,6.04087558952905,NA,NA
"Death","hba1c_qc",0.0390109159421,6.74474925643326,NA,NA
"Death","ldlc_qc",0.0735659582916602,2.31219882303338,NA,NA
"Death","drugdiab",0.308984562303225,0.337333904843549,NA,NA
"Death","CVD_is_prevalent",0.424719057147508,0.514787826832405,NA,NA
"Death","hba1c_qc_miss",0.0339137555550714,0.358051150164309,NA,NA
"Death","bapwv_qc",0.000207098198425895,1733.66416100738,NA,NA
"Death","abi_qc",-1.20013040073369,1.07919028615131,NA,NA
"Death","cca_imt_qc",0.886417899365428,0.705551779564832,NA,NA
"Death","lbpmap_x10",-0.00408894450673751,516.733961994571,NA,NA
"CVD","age_qc",0.0151223008704302,57.5633966290909,0.781733986387506,1826.25
"CVD","sex_qc",-0.0372318981017791,0.436395759717314,NA,NA
